[2023-10-09 12:02:59,639: INFO: main: welcome to our custom]
[2023-10-09 08:58:27,072: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-09 09:00:06,964: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-09 09:02:35,918: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-09 09:02:35,921: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-09 09:02:49,256: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-09 09:02:49,257: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-09 09:03:33,758: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-09 09:03:33,761: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-09 09:03:57,251: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-09 09:03:57,254: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-09 09:04:03,298: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-09 09:04:03,299: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-09 09:05:36,436: INFO: common: yaml file: config/config.yaml loaded successfully]
[2023-10-09 09:05:36,440: INFO: common: yaml file: params.yaml loaded successfully]
[2023-10-09 09:05:36,441: INFO: common: created directory at: artifacts]
[2023-10-09 09:05:36,442: INFO: common: created directory at: artifacts/data_ingestion]
[2023-10-09 09:05:36,443: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2023-10-09 09:05:39,370: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
